file,label,title,item_id,marketplace,query,euro,image_url
off_centre__v1_117327413230_0.jpg,off_centre,2019 Sherlock Holmes 50p Possible Off Centre Strike Narrow Rim Error Coin Rare,v1|117327413230|0,EBAY_GB,off centre strike error coin,False,https://i.ebayimg.com/images/g/KHMAAeSw~oJqaQNe/s-l1600.jpg
off_centre__v1_318633517169_0.jpg,off_centre,Rare 1983-P Double Struck With double date Nickel 2nd strike 60% off center,v1|318633517169|0,EBAY_GB,off centre strike error coin,False,https://i.ebayimg.com/images/g/0wkAAeSwdhFqZG9K/s-l1600.jpg
off_centre__v1_117214060873_0.jpg,off_centre,USA ONE 1 CENT LINCOLN MEMORIAL COIN 2000 Error  Rare Off Centre Strike,v1|117214060873|0,EBAY_GB,off centre strike error coin,True,https://i.ebayimg.com/images/g/IFYAAeSwCDZqFBsP/s-l1600.jpg
off_centre__v1_800264187874_0.jpg,off_centre,"1966 6 pence error coin, 20% off centre strike ",v1|800264187874|0,EBAY_GB,off centre strike error coin,False,https://i.ebayimg.com/images/g/KZoAAOSw0J5gKapC/s-l1600.jpg
off_centre__v1_278183890584_0.jpg,off_centre,1990 Small 5p Error Coin Queen Elizabeth II Off Centre Strike Rare Coin,v1|278183890584|0,EBAY_GB,off centre strike error coin,False,https://i.ebayimg.com/images/g/Ez0AAeSw~oJqVy-6/s-l1600.jpg
off_centre__v1_316564029938_0.jpg,off_centre,1980 Netherlands 25 cent error coin off centre strike,v1|316564029938|0,EBAY_GB,off centre strike error coin,True,https://i.ebayimg.com/images/g/~dUAAOSwgbxoW-nr/s-l1600.jpg
off_centre__v1_358777090164_0.jpg,off_centre,"1945 Jefferson Nickel Off-Centre Strike Error Coin, Ungraded Uncertified",v1|358777090164|0,EBAY_GB,off centre strike error coin,False,https://i.ebayimg.com/images/g/3VgAAeSw6dhqUAkw/s-l1600.jpg
off_centre__v1_307087888343_0.jpg,off_centre,2016 Great Britain £1 One Pound Coin Off Centre Strike Error Uncertified,v1|307087888343|0,EBAY_GB,off centre strike error coin,False,https://i.ebayimg.com/images/g/V1sAAeSwhQNqXR4t/s-l1600.jpg
off_centre__v1_800136001265_0.jpg,off_centre,1998 American quarter ERROR coin OFF-CENTER STRIKE OBVERSE,v1|800136001265|0,EBAY_GB,off centre strike error coin,False,https://i.ebayimg.com/images/g/cXUAAeSwPIZp5BSa/s-l1600.jpg
off_centre__v1_318637950544_0.jpg,off_centre,1998 ERROR NGC MS64 RD Double Struck Cent  2nd Strike 90 % Off Center Coin,v1|318637950544|0,EBAY_GB,off centre strike error coin,True,https://i.ebayimg.com/images/g/pUsAAeSwzY5qZkKp/s-l1600.jpg
off_centre__v1_318423681926_0.jpg,off_centre,Spain 1 Peseta 1967 Franco Off Center Strike Mint Error Coin WCA 201,v1|318423681926|0,EBAY_GB,off centre strike error coin,False,https://i.ebayimg.com/images/g/HNwAAOSw9LRjsHu7/s-l1600.jpg
off_centre__v1_407104524828_0.jpg,off_centre,1983 Off Center Quarter- Mid-strike/error Coin,v1|407104524828|0,EBAY_GB,off centre strike error coin,False,https://i.ebayimg.com/images/g/CX8AAeSwJaRqaPQD/s-l1600.jpg
off_centre__v1_234649731131_0.jpg,off_centre,⭐️ 1982 | Australian 5c COIN | OFF CENTRE RIM STRIKE ERROR | Circ | Rare🪙,v1|234649731131|0,EBAY_GB,off centre strike error coin,False,https://i.ebayimg.com/images/g/BZcAAOSwlEZi7hWZ/s-l1600.jpg
off_centre__v1_227357778492_0.jpg,off_centre,1996 Lincoln Penny OFF CENTER STRIKE ERROR & No Mint Mark ,v1|227357778492|0,EBAY_GB,off centre strike error coin,False,https://i.ebayimg.com/images/g/yxYAAeSwAaFqFCJl/s-l1600.jpg
off_centre__v1_287159083810_0.jpg,off_centre,George the 6th VI Mint Error Penny 1948 off centre strike miss stamp rare coin ,v1|287159083810|0,EBAY_GB,off centre strike error coin,False,https://i.ebayimg.com/images/g/ZCYAAeSwlDFn1Avq/s-l1600.jpg
off_centre__v1_377361900669_0.jpg,off_centre,1989 Washington Quarter Off Center Strike Mint Error Coin 25C,v1|377361900669|0,EBAY_GB,off centre strike error coin,False,https://i.ebayimg.com/images/g/3wcAAeSwAzZqYLsU/s-l1600.jpg
off_centre__v1_236283811581_0.jpg,off_centre,2 2019 £1 Coin ERRORS! Double Strike & Off-Centre + Inner Circle ,v1|236283811581|0,EBAY_GB,off centre strike error coin,False,https://i.ebayimg.com/images/g/FmkAAeSwAHxoqPIY/s-l1600.jpg
off_centre__v1_800422662735_0.jpg,off_centre,"Belgium: 1 Franc 1975 (French text, mint error: 12% off-center strike) - UNC",v1|800422662735|0,EBAY_GB,off centre strike error coin,False,https://i.ebayimg.com/images/g/WJsAAeSw8KNqaM7-/s-l1600.jpg
broadstrike__v1_318643189102_0.jpg,broadstrike,2000 Lincoln Cent Broadstruck O/C Double-Struck 2nd Strike Off 95% Center BU Red,v1|318643189102|0,EBAY_GB,off centre strike error coin,True,https://i.ebayimg.com/images/g/RRoAAeSwOk1qZ7W-/s-l1600.jpg
off_centre__v1_188701350576_0.jpg,off_centre,Washington Quarter 90% Off Center Strike Mint Error No Date Clad,v1|188701350576|0,EBAY_GB,off centre strike error coin,False,https://i.ebayimg.com/images/g/pggAAeSwY89qZwe8/s-l1600.jpg
off_centre__v1_127995068915_0.jpg,off_centre,1986 P Roosevelt Dime Off Center Strike Numerous Errors,v1|127995068915|0,EBAY_GB,off centre strike error coin,False,https://i.ebayimg.com/images/g/94YAAeSwk~VpVHd3/s-l1600.jpg
