file,status,method,n
clipped_planchet__v1_325949150930_0.png,ok,hough,1
cud__v1_198425558031_0.png,ok,hough,1
cud__v1_206346011252_0.png,ok,hough,1
cud__v1_206360312944_0.png,ok,hough,1
cud__v1_206389351266_0.png,ok,hough,1
cud__v1_327214541077_0.png,ok,hough,1
cud__v1_327218230742_0.png,ok,hough,1
cud__v1_327223171903_0.png,ok,hough,1
cud__v1_327226462997_0.png,ok,hough,1
cud__v1_327231701752_0.png,ok,hough,1
cud__v1_327243150676_0.png,ok,hough,1
cud__v1_327244209776_0.png,ok,hough,1
error_de__v1_127694059907_0_a.png,ok,hough,2
error_de__v1_127694059907_0_b.png,ok,hough,2
error_de__v1_127882248162_0.jpg,"rejected (rim 0.65, fill 0.99)",hough,0
error_de__v1_127986359719_0.png,ok,hough,1
error_de__v1_137193842367_0.jpg,"rejected (rim 0.65, fill 0.71)",hough,0
error_de__v1_137512580114_0.jpg,"rejected (rim 0.50, fill 0.54)",hough,0
error_de__v1_147170178031_0.jpg,"rejected (rim 0.79, fill 0.45)",hough,0
error_de__v1_147263840786_0.jpg,"rejected (rim 0.80, fill 0.80)",hough,0
error_de__v1_147338617602_0.png,ok,threshold,1
error_de__v1_147431940938_0.jpg,"rejected (rim 0.53, fill 0.52)",hough,0
error_de__v1_157729960585_0.png,ok,hough,1
error_de__v1_168519486248_0.jpg,"rejected (rim 0.71, fill 0.61)",hough,0
error_de__v1_168558427223_0.jpg,"rejected (rim 0.81, fill 0.84)",hough,0
error_de__v1_168564880149_0.png,ok,hough,1
error_de__v1_168570306392_0.jpg,"rejected (rim 0.53, fill 0.39)",hough,0
error_de__v1_174958926737_0.png,ok,hough,1
error_de__v1_176387944828_0.jpg,"rejected (rim 0.68, fill 0.79)",hough,0
error_de__v1_178160951290_0.png,ok,threshold,1
error_de__v1_178164364545_0.png,ok,hough,1
error_de__v1_178344570009_0.png,ok,threshold,1
error_de__v1_178346014825_0.png,ok,hough,1
error_de__v1_185536727653_0.jpg,"rejected (rim 0.50, fill 1.00)",hough,0
error_de__v1_188138802525_0.jpg,"rejected (rim 0.83, fill 0.61)",hough,0
error_de__v1_188707940595_0.png,ok,threshold,1
error_de__v1_197324519077_0.png,ok,hough,1
error_de__v1_198361727474_0_a.png,ok,hough,2
error_de__v1_198361727474_0_b.png,ok,hough,2
error_de__v1_198392460058_0.jpg,"rejected (rim 0.86, fill 0.79)",hough,0
error_de__v1_198526078100_0.png,ok,threshold,1
error_de__v1_198529874544_0.png,ok,threshold,1
error_de__v1_203274032748_0.jpg,"rejected (rim 0.61, fill 1.00)",hough,0
error_de__v1_203792441602_0.png,ok,hough,1
error_de__v1_203792442400_0.png,ok,hough,1
error_de__v1_206331840318_0.jpg,"rejected (rim 0.69, fill 0.70)",hough,0
error_de__v1_206402834495_0.png,ok,hough,1
error_de__v1_206438315657_0.png,ok,hough,1
error_de__v1_206438329720_0.jpg,"rejected (rim 0.70, fill 0.62)",hough,0
error_de__v1_206438746038_0.jpg,"rejected (rim 0.75, fill 0.73)",hough,0
error_de__v1_227058508053_0_a.png,ok,hough,2
error_de__v1_227058508053_0_b.png,ok,hough,2
error_de__v1_227255711770_0.png,ok,threshold,1
error_de__v1_227266935429_0.jpg,no coin found,threshold,0
error_de__v1_227333762273_0.jpg,"rejected (rim 0.58, fill 0.55)",hough,0
error_de__v1_227441612934_0_a.png,ok,hough,2
error_de__v1_227441612934_0_b.png,ok,hough,2
error_de__v1_236647995502_0.jpg,"rejected (rim 0.92, fill 0.33)",hough,0
error_de__v1_236948786903_0.jpg,"rejected (rim 0.74, fill 0.61)",hough,0
error_de__v1_253235164649_0.jpg,"rejected (rim 0.99, fill 0.62)",hough,0
error_de__v1_253969323027_0_a.png,ok,threshold,2
error_de__v1_253969323027_0_b.png,ok,threshold,2
error_de__v1_253972334422_0_a.png,ok,hough,2
error_de__v1_253972334422_0_b.png,ok,hough,2
error_de__v1_254450133050_0.png,ok,hough,1
error_de__v1_254450152148_0_a.png,ok,threshold,2
error_de__v1_254450152148_0_b.png,ok,threshold,2
error_de__v1_254578718456_0_a.png,ok,hough,2
error_de__v1_254578718456_0_b.png,ok,hough,2
error_de__v1_254861350977_0.jpg,"rejected (rim 1.00, fill 0.65)",hough,0
error_de__v1_254861352697_0.jpg,"rejected (rim 0.97, fill 0.64)",hough,0
error_de__v1_254861357848_0.jpg,"rejected (rim 1.00, fill 0.71)",hough,0
error_de__v1_254861364286_0_a.png,ok,hough,2
error_de__v1_254861364286_0_b.png,ok,hough,2
error_de__v1_254861408023_0.jpg,"rejected (rim 0.71, fill 0.97)",hough,0
error_de__v1_254861413042_0_a.png,ok,hough,2
error_de__v1_254861413042_0_b.png,ok,hough,2
error_de__v1_254861417723_0_a.png,ok,hough,2
error_de__v1_254861417723_0_b.png,ok,hough,2
