file,decision,time
confirmed/off_centre__300598_3532.jpg,keep,2026-07-29T00:09:08
uncertain/spiegelei__1139140_185709.jpg,keep,2026-07-29T00:18:47
uncertain/spiegelei__1139140_185710.jpg,keep,2026-07-29T00:19:01
uncertain/die_crack__1307849_286322.webp,discard,2026-07-29T00:19:18
uncertain/die_crack__1307849_286323.webp,discard,2026-07-29T00:19:19
uncertain/die_crack__1308171_286498.webp,keep,2026-07-29T00:19:46
uncertain/die_crack__1308171_286499.webp,keep,2026-07-29T00:19:49
uncertain/die_crack__1308171_286500.webp,keep,2026-07-29T00:19:53
uncertain/die_crack__1308171_286501.webp,keep,2026-07-29T00:19:54
uncertain/die_crack__1308171_286502.webp,keep,2026-07-29T00:19:55
uncertain/unsorted__1054085_149412.jpg,keep,2026-07-29T00:20:07
uncertain/unsorted__1054085_149413.jpg,keep,2026-07-29T00:20:08
uncertain/die_crack__1089623_163534.jpg,discard,2026-07-29T00:20:14
uncertain/die_crack__1089623_163535.jpg,discard,2026-07-29T00:20:19
uncertain/die_crack__1089623_163536.jpg,keep,2026-07-29T00:20:43
uncertain/die_crack__1089623_163537.jpg,discard,2026-07-29T00:20:55
uncertain/die_crack__1089623_163538.jpg,discard,2026-07-29T00:20:56
uncertain/die_crack__1089623_163539.jpg,discard,2026-07-29T00:20:58
uncertain/die_crack__1089623_163540.jpg,discard,2026-07-29T00:20:59
uncertain/die_crack__1089623_163541.jpg,discard,2026-07-29T00:21:00
uncertain/die_crack__1089623_163542.jpg,discard,2026-07-29T00:21:01
uncertain/die_crack__1089623_163543.jpg,discard,2026-07-29T00:21:01
uncertain/die_crack__1089623_163544.jpg,discard,2026-07-29T00:21:02
uncertain/die_crack__1089623_163545.jpg,discard,2026-07-29T00:21:03
uncertain/cud__1093858_165430.jpg,discard,2026-07-29T00:21:30
uncertain/cud__1093858_165433.jpg,unsure,2026-07-29T00:21:38
uncertain/off_centre__1149103_189452.jpg,discard,2026-07-29T00:21:40
uncertain/off_centre__1149103_189453.jpg,discard,2026-07-29T00:21:41
uncertain/off_centre__1149103_189454.jpg,discard,2026-07-29T00:21:42
uncertain/off_centre__1149103_189455.jpg,discard,2026-07-29T00:21:46
uncertain/off_centre__1149103_189456.jpg,discard,2026-07-29T00:21:47
uncertain/off_centre__1149103_189457.jpg,discard,2026-07-29T00:21:48
uncertain/off_centre__1149103_189458.jpg,discard,2026-07-29T00:21:49
uncertain/off_centre__1277201_266524.jpg,keep,2026-07-29T00:22:21
uncertain/off_centre__1277201_266525.jpg,keep,2026-07-29T00:22:25
uncertain/off_centre__1277201_266526.png,discard,2026-07-29T00:22:27
uncertain/die_crack__1277208_266527.jpg,discard,2026-07-29T00:22:37
uncertain/die_crack__1277208_266528.jpg,discard,2026-07-29T00:22:37
uncertain/die_crack__1277208_266529.jpg,discard,2026-07-29T00:22:40
uncertain/die_crack__1277208_266530.jpg,discard,2026-07-29T00:22:43
uncertain/die_crack__1277208_266531.jpg,discard,2026-07-29T00:22:46
uncertain/die_crack__1277208_266532.jpg,discard,2026-07-29T00:22:46
uncertain/die_crack__1277208_266533.jpg,discard,2026-07-29T00:22:47
uncertain/die_crack__1277208_266534.jpg,discard,2026-07-29T00:22:48
uncertain/unsorted__555180_30137.jpg,discard,2026-07-29T00:30:47
rejected/unsorted__578084_32915.jpg,discard,2026-07-29T00:30:47
uncertain/unsorted__581239_33230.jpg,discard,2026-07-29T00:30:47
confirmed/cud__589097_34559.jpg,discard,2026-07-29T00:30:47
confirmed/plain_edge__610036_38283.jpg,discard,2026-07-29T00:30:47
uncertain/rotated_die__615827_38892.jpg,discard,2026-07-29T00:30:47
uncertain/rotated_die__615827_38893.jpg,discard,2026-07-29T00:30:47
confirmed/rotated_die__631873_40760.jpg,discard,2026-07-29T00:30:47
confirmed/cud__634232_40981.jpg,discard,2026-07-29T00:30:47
uncertain/unsorted__634597_41022.jpg,discard,2026-07-29T00:30:47
confirmed/unsorted__682408_47043.jpg,discard,2026-07-29T00:30:47
confirmed/die_crack__726485_53847.jpg,discard,2026-07-29T00:30:47
confirmed/unsorted__758735_59073.jpg,discard,2026-07-29T00:30:47
uncertain/unsorted__901788_93863.jpg,discard,2026-07-29T00:30:47
confirmed/zainende__908664_95176.jpg,discard,2026-07-29T00:30:47
uncertain/die_crack__921525_98004.jpg,discard,2026-07-29T00:30:47
uncertain/unsorted__959581_112922.jpg,discard,2026-07-29T00:30:47
confirmed/blank_planchet__959934_113022.jpg,discard,2026-07-29T00:30:47
rejected/unsorted__1289782_274816.jpg,discard,2026-07-29T00:30:47
rejected/unsorted__1289782_274817.jpg,discard,2026-07-29T00:30:47
rejected/unsorted__1289782_274818.jpg,discard,2026-07-29T00:30:47
rejected/unsorted__1289782_274819.jpg,discard,2026-07-29T00:30:47
