file,label,category,licence,artist,width,height,source
unsorted__1_Trade_dollar_of_USA_-_1877_S_arrow_error_.png,unsorted,Category:Error coins,CC0,Windrain,2800,1393,https://commons.wikimedia.org/wiki/File:1_Trade_dollar_of_USA_-_1877_S_(arrow_error).png
planchet__1-2_Thaler_Cassengeld_1801_Georg_III_obv_-7373.jpg,planchet,Category:Flan defect,CC BY-SA 4.0,Raimond Spekking,4172,4172,https://commons.wikimedia.org/wiki/File:1-2_Thaler_Cassengeld_1801_Georg_III_(obv)-7373.jpg
planchet__1-2_Thaler_Cassengeld_1801_Georg_III_rev_-7372.jpg,planchet,Category:Flan defect,CC BY-SA 4.0,Raimond Spekking,4172,4172,https://commons.wikimedia.org/wiki/File:1-2_Thaler_Cassengeld_1801_Georg_III_(rev)-7372.jpg
clipped_planchet__10_Centavos_1934_clip.jpg,clipped_planchet,Category:Error coins,CC BY-SA 4.0,Jespinos,640,480,https://commons.wikimedia.org/wiki/File:10_Centavos_1934_clip.jpg
unsorted__12_Mariengroschen_1672_Johann_Friedrich-0174_rev_.jpg,unsorted,Category:Error coins,CC BY-SA 4.0,"Fa. Linnartz, Lohmar/Köln",550,552,https://commons.wikimedia.org/wiki/File:12_Mariengroschen_1672_Johann_Friedrich-0174_(rev).jpg
unsorted__12_Mariengroschen_1672_Johann_Friedrich-0174.jpg,unsorted,Category:Error coins,CC BY-SA 4.0,"Fa. Linnartz, Lohmar/Köln",1090,553,https://commons.wikimedia.org/wiki/File:12_Mariengroschen_1672_Johann_Friedrich-0174.jpg
unsorted__12_Mariengroschen_1672_Johann_Friedrich-0259_obv_.jpg,unsorted,Category:Error coins,CC BY-SA 4.0,"Fa. Linnartz, Lohmar/Köln",557,550,https://commons.wikimedia.org/wiki/File:12_Mariengroschen_1672_Johann_Friedrich-0259_(obv).jpg
unsorted__12_Mariengroschen_1672_Johann_Friedrich-0259.jpg,unsorted,Category:Error coins,CC BY-SA 4.0,"Fa. Linnartz, Lohmar/Köln",1084,553,https://commons.wikimedia.org/wiki/File:12_Mariengroschen_1672_Johann_Friedrich-0259.jpg
us_mint_error__1801_3_Errors_Reverse_Draped_Bust_Large_Cent_Diagnostics_Graphic.png,us_mint_error,Category:United States Mint errors,CC BY 4.0,Elijah Skinner,2500,2500,https://commons.wikimedia.org/wiki/File:1801_3_Errors_Reverse_Draped_Bust_Large_Cent_Diagnostics_Graphic.png
doubled_die__1955_doubled_die_Lincoln_cent.jpg,doubled_die,Category:United States Mint errors,Public domain,"Lost Dutchman Rare Coins for image, Victor David Brenner for coin",1880,1896,https://commons.wikimedia.org/wiki/File:1955_doubled_die_Lincoln_cent.jpg
